OrgId,_id,categoryName,cost,createDate,customer,description,endTimestamp,invoiceableTime,isAbsence,isInvoiceable,isWorkTime,pricePerHour,time,timestamp,user,userName,workOrder
ORG-1001,_-001,categoryname_value_1,137.50,2026-01-05,customer_value_1,description_value_1,endtimestamp_value_1,invoiceabletime_value_1,false,false,false,137.50,time_value_1,timestamp_value_1,user_value_1,username_value_1,workorder_value_1
ORG-1002,_-002,categoryname_value_2,275.00,2026-01-12,customer_value_2,description_value_2,endtimestamp_value_2,invoiceabletime_value_2,true,true,true,275.00,time_value_2,timestamp_value_2,user_value_2,username_value_2,workorder_value_2
ORG-1003,_-003,categoryname_value_3,412.50,2026-01-19,customer_value_3,description_value_3,endtimestamp_value_3,invoiceabletime_value_3,true,true,true,412.50,time_value_3,timestamp_value_3,user_value_3,username_value_3,workorder_value_3
ORG-1004,_-004,categoryname_value_4,550.00,2026-01-26,customer_value_4,description_value_4,endtimestamp_value_4,invoiceabletime_value_4,false,false,false,550.00,time_value_4,timestamp_value_4,user_value_4,username_value_4,workorder_value_4
ORG-1001,_-005,categoryname_value_5,687.50,2026-02-02,customer_value_5,description_value_5,endtimestamp_value_5,invoiceabletime_value_5,true,true,true,687.50,time_value_5,timestamp_value_5,user_value_5,username_value_5,workorder_value_5
ORG-1002,_-006,categoryname_value_6,825.00,2026-02-09,customer_value_6,description_value_6,endtimestamp_value_6,invoiceabletime_value_6,true,true,true,825.00,time_value_6,timestamp_value_6,user_value_6,username_value_6,workorder_value_6
ORG-1003,_-007,categoryname_value_7,962.50,2026-02-16,customer_value_7,description_value_7,endtimestamp_value_7,invoiceabletime_value_7,false,false,false,962.50,time_value_7,timestamp_value_7,user_value_7,username_value_7,workorder_value_7
ORG-1004,_-008,categoryname_value_8,1100.00,2026-02-23,customer_value_8,description_value_8,endtimestamp_value_8,invoiceabletime_value_8,true,true,true,1100.00,time_value_8,timestamp_value_8,user_value_8,username_value_8,workorder_value_8
ORG-1001,_-009,categoryname_value_9,1237.50,2026-03-02,customer_value_9,description_value_9,endtimestamp_value_9,invoiceabletime_value_9,true,true,true,1237.50,time_value_9,timestamp_value_9,user_value_9,username_value_9,workorder_value_9
ORG-1002,_-010,categoryname_value_10,1375.00,2026-03-09,customer_value_10,description_value_10,endtimestamp_value_10,invoiceabletime_value_10,false,false,false,1375.00,time_value_10,timestamp_value_10,user_value_10,username_value_10,workorder_value_10
ORG-1003,_-011,categoryname_value_11,1512.50,2026-03-16,customer_value_11,description_value_11,endtimestamp_value_11,invoiceabletime_value_11,true,true,true,1512.50,time_value_11,timestamp_value_11,user_value_11,username_value_11,workorder_value_11
ORG-1004,_-012,categoryname_value_12,1650.00,2026-03-23,customer_value_12,description_value_12,endtimestamp_value_12,invoiceabletime_value_12,true,true,true,1650.00,time_value_12,timestamp_value_12,user_value_12,username_value_12,workorder_value_12
